Category,Description,price_per_100g
BUTTER,"BUTTER,WITH SALT",3.41
BUTTER,"BUTTER,WHIPPED,WITH SALT",1.41
BUTTER OIL,"BUTTER OIL,ANHYDROUS",2.99
CHEESE,"CHEESE,BLUE",3.2
CHEESE,"CHEESE,BRICK",4.07
CHEESE,"CHEESE,BRIE",2.17
CHEESE,"CHEESE,CAMEMBERT",3.85
CHEESE,"CHEESE,CARAWAY",3.42
CHEESE,"CHEESE,CHEDDAR",1.31
CHEESE,"CHEESE,CHESHIRE",2.46
CHEESE,"CHEESE,COLBY",2.24
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.15
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",3.66
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",4.93
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.73
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",4.98
CHEESE,"CHEESE,CREAM",4.84
CHEESE,"CHEESE,EDAM",2.79
CHEESE,"CHEESE,FETA",2.33
CHEESE,"CHEESE,FONTINA",1.8
CHEESE,"CHEESE,GJETOST",4.29
CHEESE,"CHEESE,GOUDA",1.81
CHEESE,"CHEESE,GRUYERE",3.44
CHEESE,"CHEESE,LIMBURGER",3.84
CHEESE,"CHEESE,MONTEREY",4.87
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",1.47
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",2.4
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",4.49
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",0.98
CHEESE,"CHEESE,MUENSTER",2.81
CHEESE,"CHEESE,NEUFCHATEL",2.04
CHEESE,"CHEESE,PARMESAN,GRATED",4.16
CHEESE,"CHEESE,PARMESAN,HARD",1.84
CHEESE,"CHEESE,PORT DE SALUT",3.84
CHEESE,"CHEESE,PROVOLONE",2.94
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",4.99
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",2.08
CHEESE,"CHEESE,ROMANO",4.43
CHEESE,"CHEESE,ROQUEFORT",4.01
CHEESE,"CHEESE,SWISS",0.7
CHEESE,"CHEESE,TILSIT",2.92
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",3.85
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",0.68
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",2.57
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",3.72
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",2.14
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.64
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",0.79
CREAM,"CREAM,FLUID,HALF AND HALF",1.71
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",1.61
CREAM,"CREAM,FLUID,LT WHIPPING",4.54
CREAM,"CREAM,FLUID,HVY WHIPPING",2.72
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",1.83
CREAM,"CREAM,SOUR,RED FAT,CULTURED",4.04
CREAM,"CREAM,SOUR,CULTURED",0.83
No Category,EGGNOG,4.55
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",3.62
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",4.61
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",3.57
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",4.58
